step,datetime,portfolio_value,benchmark_value,cash,reward,portfolio_return,drawdown,total_fees,rolling_volatility,risk_adjusted_return,cost_penalty,risk_halted,price_btc_usdt,holding_btc_usdt,position_value_btc_usdt,action_btc_usdt,price_eth_usdt,holding_eth_usdt,position_value_eth_usdt,action_eth_usdt,label,agent_return,benchmark_return,agent_cumulative_return,benchmark_cumulative_return,agent_drawdown,benchmark_drawdown,gross_exposure,exposure_btc_usdt,exposure_eth_usdt
384,2026-04-21 08:00:00+00:00,10001.6337890625,10240.435546875,9627.3777876799,0.0002494486316766919,3.2319983064719445e-05,0.0002420893167058321,0.0005417070984840393,0.0014796630712226033,0.02183932588069549,5.416361145323105e-08,False,76146.25,0.0,0.0,-0.4470740258693695,2320.969970703125,0.16124968230724335,374.2556704205308,0.23339684307575226,forward_2026_0420_0428,3.2319983064743596e-05,0.0007218492625284956,0.0001633789062500668,0.02404355468749997,-0.0002418941306117084,-0.005784087775992375,0.03741945349266897,0.0,0.03741945349266897
385,2026-04-21 08:05:00+00:00,10001.4033203125,10239.51953125,9626.55955144738,-0.00018035476244316866,-2.3043110241852088e-05,0.000265126848456871,0.0008174188137054444,0.0014779095072299242,-0.015590428943037927,8.17285286529237e-08,False,76178.96875,0.0,0.0,-1.0,2319.550048828125,0.16160207986831665,374.84411224928044,0.35240402817726135,forward_2026_0420_0428,-2.3043110241816045e-05,-8.945084618783294e-05,0.00014033203125007887,0.02395195312500009,-0.00026493166686047953,-0.005873021230634268,0.037479151699440535,0.0,0.037479151699440535
386,2026-04-21 08:10:00+00:00,10000.5693359375,10223.1640625,9624.242837089767,-0.0006509818554753893,-8.338673567000413e-05,0.00034849147606444376,0.0023143999576568605,0.0014726768713444471,-0.056562125490318485,2.3140752187809437e-07,False,76104.390625,0.0,0.0,-1.0,2314.39990234375,0.16260208189487457,376.32624245838815,1.0,forward_2026_0420_0428,-8.3386735669988e-05,-0.0015972886911426176,5.6933593749919353e-05,0.022316406250000087,-0.0003482963107435122,-0.007460929011382289,0.03763048180727498,0.0,0.03763048180727498
387,2026-04-21 08:15:00+00:00,10000.56640625,10224.84375,9622.263027059425,-4.229106447799333e-06,-2.929520711857909e-07,0.00034878432604432987,0.0019778321981430056,0.0014688284136354923,-0.00019944607864460148,1.9777195994587787e-07,False,76129.2890625,0.0,0.0,-1.0,2314.39990234375,0.16345666348934174,378.3040860171677,0.8545766472816467,forward_2026_0420_0428,-2.929520711569822e-07,0.00016430211720463994,5.6640624999992895e-05,0.02248437499999989,-0.0003485891607806213,-0.007297852740610455,0.03782826598508871,0.0,0.03782826598508871
388,2026-04-21 08:20:00+00:00,10001.9501953125,10256.83203125,9621.424266504098,0.0010720513236225173,0.00013837106882617976,0.0002104615188781347,0.0008379226326942444,0.0014758734032511711,0.09348163499082202,8.378751749206648e-08,False,76327.3828125,0.0,0.0,-1.0,2322.8701171875,0.1638173907995224,380.5265217638371,0.3607272505760193,forward_2026_0420_0428,0.00013837106882608197,0.0031284860709974716,0.0001950195312498959,0.025683203125000054,-0.00021026632660925415,-0.004192197900260264,0.038045232612953235,0.0,0.038045232612953235
389,2026-04-21 08:25:00+00:00,10002.103515625,10257.01171875,9619.522071786572,0.00011831849058985113,1.53290417874561e-05,0.0001951357032640961,0.0019002944231033326,0.0014716979349032044,0.010415511970879898,1.8999239008347812e-07,False,76299.3984375,0.0,0.0,-1.0,2323.81005859375,0.16463513672351837,382.58078671606927,0.8177494406700134,forward_2026_0420_0428,1.5329041787470743e-05,1.751881082312501e-05,0.00021035156250004405,0.025701171874999984,-0.00019494050800306084,-0.0041747525317591405,0.03825003271745913,0.0,0.03825003271745913
390,2026-04-21 08:30:00+00:00,10002.1025390625,10260.7099609375,9618.395067335536,-1.8502620434791182e-06,-9.76357121753881e-08,0.00019523331992405814,0.0011258785724639893,0.0014706486836075783,-6.638955524880156e-05,1.1256417919542365e-07,False,76354.21875,0.0,0.0,-0.20374874770641327,2323.81005859375,0.16511963307857513,383.7066642193022,0.4844967722892761,forward_2026_0420_0428,-9.763571218179834e-08,0.00036055746926177967,0.00021025390625006857,0.026070996093749965,-0.0001950381246820232,-0.003815700300705105,0.03836260053531376,0.0,0.03836260053531376
391,2026-04-21 08:35:00+00:00,10002.1025390625,10257.2177734375,9618.395067335536,-9.761665996202908e-07,0.0,0.00019523331992405814,0.0,0.0014710179530084133,0.0,0.0,False,76302.453125,0.0,0.0,-0.6965730786323547,2323.81005859375,0.16511963307857513,383.7066642193022,0.09645693749189377,forward_2026_0420_0428,0.0,-0.00034034560116158463,0.00021025390625006857,0.02572177734374992,-0.0001950381246820232,-0.004154747245053936,0.03836260053531376,0.0,0.03836260053531376
392,2026-04-21 08:40:00+00:00,10002.79296875,10278.7880859375,9616.064729243208,0.0005359009038604695,6.902845524764178e-05,0.00012621834133090358,0.002328010082244873,0.0014747217064723372,0.04677362923906745,2.3275207119233134e-07,False,76485.3125,0.0,0.0,-1.0,2328.010009765625,0.16611963510513306,386.72817334336287,1.0,forward_2026_0420_0428,6.902845524758838e-05,0.002102939898172007,0.00027929687500005684,0.027878808593750026,-0.00012602313261489417,-0.002060544530630426,0.03866201915320561,0.0,0.03866201915320561
393,2026-04-21 08:45:00+00:00,10002.8828125,10291.638671875,9613.733830545592,6.906739839702646e-05,8.981866392784827e-06,0.00011723760861439692,0.0023285701274871826,0.0014747274108231068,0.00609045120419857,2.3279199467208133e-07,False,76657.5625,0.0,0.0,-0.9879347085952759,2328.570068359375,0.16711963713169098,389.1497848599356,1.0,forward_2026_0420_0428,8.981866392865356e-06,0.0012502043849975664,0.000288281250000022,0.02916386718750008,-0.00011704239814502859,-0.0008129162474405094,0.03890376326049112,0.0,0.03890376326049112
