timestamp,open,high,low,close,volume,datetime,symbol
1776551100000,2353.35,2353.73,2353.35,2353.73,0.0636,2026-04-18 22:25:00+00:00,ETH/USDT
1776551400000,2354.67,2354.67,2354.67,2354.67,0.0082,2026-04-18 22:30:00+00:00,ETH/USDT
1776551700000,2354.78,2354.78,2354.78,2354.78,1.0608,2026-04-18 22:35:00+00:00,ETH/USDT
1776552000000,2354.27,2354.27,2354.27,2354.27,0.3259,2026-04-18 22:40:00+00:00,ETH/USDT
1776552300000,2354.02,2357.61,2354.02,2357.61,0.4237,2026-04-18 22:45:00+00:00,ETH/USDT
1776552600000,2357.64,2358.1,2357.64,2358.03,5.7735,2026-04-18 22:50:00+00:00,ETH/USDT
1776552900000,2357.29,2357.29,2357.29,2357.29,0.0064,2026-04-18 22:55:00+00:00,ETH/USDT
1776553200000,2356.93,2358.73,2356.93,2358.73,0.2272,2026-04-18 23:00:00+00:00,ETH/USDT
1776553500000,2358.07,2358.07,2358.07,2358.07,0.9,2026-04-18 23:05:00+00:00,ETH/USDT
1776553800000,2357.2,2357.2,2356.53,2356.53,0.0317,2026-04-18 23:10:00+00:00,ETH/USDT
1776554100000,2356.03,2356.03,2356.03,2356.03,0.0427,2026-04-18 23:15:00+00:00,ETH/USDT
1776554400000,2354.69,2355.12,2354.46,2355.12,0.5006,2026-04-18 23:20:00+00:00,ETH/USDT
1776554700000,2355.58,2355.58,2355.58,2355.58,0.0013,2026-04-18 23:25:00+00:00,ETH/USDT
1776555000000,2353.16,2353.16,2353.16,2353.16,0.0046,2026-04-18 23:30:00+00:00,ETH/USDT
1776555300000,2353.16,2353.16,2353.16,2353.16,0.0,2026-04-18 23:35:00+00:00,ETH/USDT
1776555600000,2351.91,2351.91,2351.39,2351.77,0.0053,2026-04-18 23:40:00+00:00,ETH/USDT
1776555900000,2351.77,2351.77,2351.77,2351.77,0.0,2026-04-18 23:45:00+00:00,ETH/USDT
1776556200000,2351.73,2351.73,2351.15,2351.15,0.93,2026-04-18 23:50:00+00:00,ETH/USDT
1776556500000,2350.23,2350.57,2350.23,2350.57,0.1454,2026-04-18 23:55:00+00:00,ETH/USDT
1776556800000,2351.86,2351.86,2350.99,2350.99,2.1202,2026-04-19 00:00:00+00:00,ETH/USDT
1776557100000,2352.24,2354.41,2352.24,2354.41,0.3167,2026-04-19 00:05:00+00:00,ETH/USDT
1776557400000,2355.58,2355.58,2352.06,2352.06,0.0551,2026-04-19 00:10:00+00:00,ETH/USDT
1776557700000,2350.2,2350.53,2350.2,2350.53,0.0129,2026-04-19 00:15:00+00:00,ETH/USDT
1776558000000,2350.53,2350.53,2350.53,2350.53,0.0,2026-04-19 00:20:00+00:00,ETH/USDT
1776558300000,2347.98,2347.98,2347.98,2347.98,0.0106,2026-04-19 00:25:00+00:00,ETH/USDT
1776558600000,2347.98,2347.98,2347.98,2347.98,0.0,2026-04-19 00:30:00+00:00,ETH/USDT
1776558900000,2347.98,2347.98,2347.98,2347.98,0.0,2026-04-19 00:35:00+00:00,ETH/USDT
1776559200000,2345.39,2345.39,2345.39,2345.39,0.0739,2026-04-19 00:40:00+00:00,ETH/USDT
1776559500000,2347.64,2349.69,2347.64,2349.69,2.2152,2026-04-19 00:45:00+00:00,ETH/USDT
1776559800000,2349.25,2349.25,2349.25,2349.25,0.0064,2026-04-19 00:50:00+00:00,ETH/USDT
1776560100000,2349.25,2349.25,2349.25,2349.25,0.0,2026-04-19 00:55:00+00:00,ETH/USDT
1776560400000,2352.98,2352.98,2350.54,2350.54,0.0954,2026-04-19 01:00:00+00:00,ETH/USDT
1776560700000,2350.54,2350.54,2350.54,2350.54,0.0,2026-04-19 01:05:00+00:00,ETH/USDT
1776561000000,2346.43,2347.58,2346.43,2347.58,1.5828,2026-04-19 01:10:00+00:00,ETH/USDT
1776561300000,2346.93,2346.93,2346.93,2346.93,0.047,2026-04-19 01:15:00+00:00,ETH/USDT
1776561600000,2346.93,2346.93,2346.93,2346.93,0.0,2026-04-19 01:20:00+00:00,ETH/USDT
1776561900000,2345.48,2345.99,2345.48,2345.99,0.1023,2026-04-19 01:25:00+00:00,ETH/USDT
1776562200000,2343.81,2344.74,2342.59,2344.48,0.9495,2026-04-19 01:30:00+00:00,ETH/USDT
1776562500000,2345.44,2345.44,2343.78,2343.78,1.3064,2026-04-19 01:35:00+00:00,ETH/USDT
1776562800000,2343.78,2343.78,2343.78,2343.78,0.0,2026-04-19 01:40:00+00:00,ETH/USDT
1776563100000,2343.78,2343.78,2343.78,2343.78,0.0,2026-04-19 01:45:00+00:00,ETH/USDT
1776563400000,2347.81,2348.58,2347.81,2348.58,1.1973,2026-04-19 01:50:00+00:00,ETH/USDT
1776563700000,2349.98,2349.98,2348.54,2348.54,0.4559,2026-04-19 01:55:00+00:00,ETH/USDT
1776564000000,2347.29,2347.29,2347.29,2347.29,0.0085,2026-04-19 02:00:00+00:00,ETH/USDT
1776564300000,2347.29,2347.29,2347.29,2347.29,0.0,2026-04-19 02:05:00+00:00,ETH/USDT
1776564600000,2345.68,2346.57,2345.6,2346.57,0.1564,2026-04-19 02:10:00+00:00,ETH/USDT
1776564900000,2346.04,2346.49,2346.04,2346.49,0.0062,2026-04-19 02:15:00+00:00,ETH/USDT
1776565200000,2341.63,2341.63,2335.42,2336.45,0.6294,2026-04-19 02:20:00+00:00,ETH/USDT
1776565500000,2335.34,2337.7,2331.49,2337.3,1.6728,2026-04-19 02:25:00+00:00,ETH/USDT
1776565800000,2336.48,2336.48,2336.48,2336.48,0.0017,2026-04-19 02:30:00+00:00,ETH/USDT
1776566100000,2336.88,2338.89,2336.88,2338.89,0.0084,2026-04-19 02:35:00+00:00,ETH/USDT
1776566400000,2346.44,2346.44,2346.44,2346.44,0.0046,2026-04-19 02:40:00+00:00,ETH/USDT
1776566700000,2344.48,2344.88,2342.32,2342.32,1.2847,2026-04-19 02:45:00+00:00,ETH/USDT
1776567000000,2342.02,2342.02,2340.19,2340.2,1.7489,2026-04-19 02:50:00+00:00,ETH/USDT
1776567300000,2341.63,2341.63,2338.89,2338.89,0.0021,2026-04-19 02:55:00+00:00,ETH/USDT
1776567600000,2339.25,2339.25,2338.04,2338.04,0.0461,2026-04-19 03:00:00+00:00,ETH/USDT
1776567900000,2337.06,2337.06,2337.06,2337.06,0.0016,2026-04-19 03:05:00+00:00,ETH/USDT
1776568200000,2337.21,2338.97,2337.21,2338.97,0.0211,2026-04-19 03:10:00+00:00,ETH/USDT
1776568500000,2340.02,2340.02,2339.44,2339.44,0.0633,2026-04-19 03:15:00+00:00,ETH/USDT
1776568800000,2340.51,2340.51,2340.51,2340.51,0.0036,2026-04-19 03:20:00+00:00,ETH/USDT
1776569100000,2341.26,2341.26,2341.26,2341.26,0.0397,2026-04-19 03:25:00+00:00,ETH/USDT
1776569400000,2342.25,2342.25,2342.25,2342.25,0.0085,2026-04-19 03:30:00+00:00,ETH/USDT
1776569700000,2342.25,2342.25,2342.25,2342.25,0.0,2026-04-19 03:35:00+00:00,ETH/USDT
1776570000000,2342.24,2342.24,2342.24,2342.24,0.5123,2026-04-19 03:40:00+00:00,ETH/USDT
1776570300000,2342.24,2342.24,2342.24,2342.24,0.0,2026-04-19 03:45:00+00:00,ETH/USDT
1776570600000,2342.24,2342.24,2342.24,2342.24,0.0,2026-04-19 03:50:00+00:00,ETH/USDT
1776570900000,2341.73,2341.73,2341.39,2341.39,0.9713,2026-04-19 03:55:00+00:00,ETH/USDT
1776571200000,2341.47,2341.52,2341.47,2341.52,0.0553,2026-04-19 04:00:00+00:00,ETH/USDT
1776571500000,2341.52,2341.52,2341.52,2341.52,0.0,2026-04-19 04:05:00+00:00,ETH/USDT
1776571800000,2344.28,2346.0,2344.28,2346.0,0.0585,2026-04-19 04:10:00+00:00,ETH/USDT
1776572100000,2345.46,2345.46,2345.46,2345.46,0.0041,2026-04-19 04:15:00+00:00,ETH/USDT
1776572400000,2342.92,2342.92,2342.92,2342.92,0.007,2026-04-19 04:20:00+00:00,ETH/USDT
1776572700000,2343.4,2343.4,2342.11,2342.11,0.0281,2026-04-19 04:25:00+00:00,ETH/USDT
1776573000000,2341.52,2341.52,2336.02,2336.02,3.1182,2026-04-19 04:30:00+00:00,ETH/USDT
1776573300000,2336.02,2336.02,2336.02,2336.02,0.0,2026-04-19 04:35:00+00:00,ETH/USDT
1776573600000,2334.71,2334.71,2322.77,2325.23,3.8998,2026-04-19 04:40:00+00:00,ETH/USDT
1776573900000,2327.96,2327.96,2327.96,2327.96,0.2249,2026-04-19 04:45:00+00:00,ETH/USDT
1776574200000,2330.17,2333.71,2330.13,2333.54,0.033,2026-04-19 04:50:00+00:00,ETH/USDT
1776574500000,2333.54,2333.54,2333.54,2333.54,0.0,2026-04-19 04:55:00+00:00,ETH/USDT
1776574800000,2333.92,2333.92,2333.58,2333.58,0.7513,2026-04-19 05:00:00+00:00,ETH/USDT
1776575100000,2331.2,2331.2,2330.58,2330.58,0.1326,2026-04-19 05:05:00+00:00,ETH/USDT
1776575400000,2331.42,2332.82,2331.42,2332.82,0.0158,2026-04-19 05:10:00+00:00,ETH/USDT
1776575700000,2332.82,2332.82,2332.82,2332.82,0.0,2026-04-19 05:15:00+00:00,ETH/USDT
1776576000000,2332.14,2332.14,2332.14,2332.14,0.0087,2026-04-19 05:20:00+00:00,ETH/USDT
1776576300000,2332.14,2332.14,2332.14,2332.14,0.0,2026-04-19 05:25:00+00:00,ETH/USDT
1776576600000,2333.84,2336.87,2333.84,2336.24,0.0987,2026-04-19 05:30:00+00:00,ETH/USDT
1776576900000,2336.24,2336.24,2336.24,2336.24,0.0,2026-04-19 05:35:00+00:00,ETH/USDT
